timestamp,ticker,strategy,return_pct,sharpe,max_drawdown_pct,win_rate_pct,total_trades,sharpe_ci_low,sharpe_ci_high,return_ci_low,return_ci_high,n_bootstrap,seed
2026-03-17T16:27:09.390302,TSLA,MA-Only,17.6,0.9445,-17.003,100.0,4,-1.6206,3.5211,-31.3243,103.9015,1000,42
2026-03-17T16:27:09.390461,TSLA,RL-Only,-1.07,0.0621,-19.5446,0.0,1,-2.501,2.4298,-31.8575,43.4521,1000,42
2026-03-17T16:27:09.390533,TSLA,Hybrid,16.24,0.8207,-19.9949,0.0,1,-1.4793,3.3763,-34.4513,115.8429,1000,42
2026-03-17T16:27:21.305462,AAPL,MA-Only,11.94,1.1013,-11.4938,50.0,4,-1.3478,3.7547,-15.3714,50.9499,1000,42
2026-03-17T16:27:21.305787,AAPL,RL-Only,11.94,1.1013,-11.4938,50.0,4,-1.3478,3.7547,-15.3714,50.9499,1000,42
2026-03-17T16:27:21.305866,AAPL,Hybrid,11.94,1.1013,-11.4938,50.0,4,-1.3478,3.7547,-15.3714,50.9499,1000,42
2026-03-17T16:28:03.234132,TSLA,MA-Only,17.6,0.9445,-17.003,100.0,4,-1.6206,3.5211,-31.3243,103.9015,1000,42
2026-03-17T16:28:03.234481,TSLA,RL-Only,-1.18,0.0551,-19.5446,0.0,1,-2.5098,2.423,-31.8588,43.4483,1000,42
2026-03-17T16:28:03.234584,TSLA,Hybrid,16.12,0.8164,-19.9949,0.0,1,-1.4834,3.372,-34.5224,115.3869,1000,42
2026-03-17T16:28:13.192439,BABA,MA-Only,15.92,0.85,-24.7942,50.0,4,-1.6487,3.2143,-29.777,108.613,1000,42
2026-03-17T16:28:13.192905,BABA,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:28:13.192976,BABA,Hybrid,15.92,0.85,-24.7942,50.0,4,-1.6487,3.2143,-29.777,108.613,1000,42
2026-03-17T16:28:28.993487,GOOG,MA-Only,47.11,2.6667,-12.1486,100.0,2,0.2416,5.0354,1.7537,116.5213,1000,42
2026-03-17T16:28:28.993877,GOOG,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:28:28.993995,GOOG,Hybrid,47.11,2.6667,-12.1486,100.0,2,0.2416,5.0354,1.7537,116.5213,1000,42
2026-03-17T16:37:39.293773,NVDA,MA-Only,-9.43,-0.4002,-19.3668,0.0,8,-3.0622,2.064,-41.7748,40.5019,1000,42
2026-03-17T16:37:39.293999,NVDA,RL-Only,-0.59,0.1503,-17.2825,0.0,1,-2.3746,2.6371,-38.7352,65.0286,1000,42
2026-03-17T16:37:39.294143,NVDA,Hybrid,-9.43,-0.4002,-19.3668,0.0,8,-3.0622,2.064,-41.7748,40.5019,1000,42
2026-03-17T16:38:08.944435,NVDA,MA-Only,-9.43,-0.4002,-19.3668,0.0,8,-3.0622,2.064,-41.7748,40.5019,1000,42
2026-03-17T16:38:08.944717,NVDA,RL-Only,-0.61,0.1494,-17.2825,0.0,1,-2.3746,2.6371,-38.7471,65.0279,1000,42
2026-03-17T16:38:08.945033,NVDA,Hybrid,-9.43,-0.4002,-19.3668,0.0,8,-3.0622,2.064,-41.7748,40.5019,1000,42
2026-03-17T16:38:23.697678,AMD,MA-Only,-21.21,-0.5813,-35.7993,33.3333,6,-2.9503,1.9122,-61.0053,59.1594,1000,42
2026-03-17T16:38:23.697912,AMD,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
2026-03-17T16:38:23.698209,AMD,Hybrid,-21.21,-0.5813,-35.7993,33.3333,6,-2.9503,1.9122,-61.0053,59.1594,1000,42
2026-03-17T16:38:35.279077,META,MA-Only,-26.03,-3.6441,-26.4966,0.0,6,-5.9728,-1.1499,-40.1385,-8.2844,1000,42
2026-03-17T16:38:35.279335,META,RL-Only,-13.5,-0.6991,-20.4911,0.0,1,-3.2015,2.2009,-42.1363,40.4214,1000,42
2026-03-17T16:38:35.279415,META,Hybrid,-20.02,-1.0907,-24.1249,0.0,1,-3.6176,1.7177,-47.8708,32.6412,1000,42
2026-03-17T16:38:50.842576,NFLX,MA-Only,-19.69,-2.2596,-21.5019,0.0,7,-3.9299,-0.3902,-39.6814,-1.9735,1000,42
2026-03-17T16:38:50.842809,NFLX,RL-Only,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000,42
